Codi del centre;Nom del centre;Adreça del centre;Codi municipi del centre;Municipi del centre;Districte municipal del centre;Codi postal del centre;Telèfon del centre;Telèfon 2 del centre;Codi naturalesa;Nom naturalesa;Codi titularitat;Nom titularitat;Servei d'educació de Catalunya;Codi comarca del centre;Comarca del centre;Codi localitat del centre;Codi àrea territorial del centre;Àrea territorial del centre
08035015;López Vicuña;c. Consell de Cent, 395-397;08019;Barcelona;Eixample;08009;934876594;934878577;3;Concertat;24;Ordes i Congregacions Catòlics;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08035039;Institut Bonanova;pg. de Circumval·lació, 8;08019;Barcelona;Ciutat vella;08003;932540497;932541315;1;Públic;04;Corporacions Locals;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08035143;Institut Miquel Martí i Pol;av. Mare de Déu de Montserrat, 51;08073;Cornellà de Llobregat;;08940;933775657;934742418;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0807303;0308;Baix Llobregat
08035349;Institut La Romànica;rda. de Santa Maria, 310;08252;Barberà del Vallès;;08210;937182654;937293553;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0825202;0408;Vallès Occidental
08035787;Freta;c. Costa i Fornaguera, 2-14;08035;Calella;;08370;937661983;937662819;3;Concertat;26;Societats Mercantils;S;21;Maresme;0803501;0508;Maresme-Vallès Oriental
08035805;Jaume Viladoms;c. Doctor Almera, 33;08187;Sabadell;Sabadell 5;08205;937269995;937260859;3;Concertat;26;Societats Mercantils;S;40;Vallès Occidental;0818703;0408;Vallès Occidental
08036755;Solc Nou;av. Vallcarca, 165;08019;Barcelona;Gràcia;08023;934173311;934186670;3;Concertat;22;Fundacions;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08036871;Centre d'Estudis Catalunya;c. Jovellanos, 6;08019;Barcelona;Ciutat vella;08001;933182092;933185377;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08037152;Institut Joan Oró;c. Feliu Duran i Canyameres, 7;08114;Martorell;;08760;937753618;937753440;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0811402;0308;Baix Llobregat
08038120;Edgar;c. Prat de la Riba, 89, baixos;08279;Terrassa;Terrassa 1;08222;937859876;937861781;3;Concertat;21;Cooperatives;S;40;Vallès Occidental;0827904;0408;Vallès Occidental
08038673;Dolmen;c. Riera Blanca, 184-186;08101;L'Hospitalet de Llobregat;Collblanc - Torrassa;08902;933310400;933310550;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0810101;0208;Barcelona Comarques
08038867;Jaume Balmes;Travessia Industrial, 161;08101;L'Hospitalet de Llobregat;Bellvitge - Polígon Gornal;08907;933365654;932631280;3;Concertat;21;Cooperatives;S;13;Barcelonès;0810101;0208;Barcelona Comarques
08042056;Institut Can Puig;c. Joan Maragall, s/n;08231;Sant Pere de Ribes;;08810;938961405;938960497;1;Públic;01;Departament d'Ensenyament;S;17;Garraf;0823105;0208;Barcelona Comarques
08044053;Institut Salvador Seguí;c. Santander, 7-9;08019;Barcelona;Sant Martí;08020;933142041;933142890;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08044326;Roca;av. Meridiana, 263;08019;Barcelona;Sant Andreu;08027;932430770;933525345;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08044533;Institut La Ferreria;c. del Progrés, 57;08125;Montcada i Reixac;;08110;935752184;935752785;1;Públic;01;Departament d'Ensenyament;S;40;Vallès Occidental;0812502;0408;Vallès Occidental
08045471;Institut Pompeu Fabra;c. Molí de la Torre, 34-58;08015;Badalona;;08915;933836311;933835759;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801501;0208;Barcelona Comarques
08045513;Institut Flos i Calcat;av. Rio de Janeiro, 92;08019;Barcelona;Nou Barris;08016;933542961;933542961;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08046736;Institut Milà i Fontanals;c. Torrelles de Foix, s/n;08305;Vilafranca del Penedès;;08720;938172018;938902351;1;Públic;01;Departament d'Ensenyament;S;03;Alt Penedès;0830505;0208;Barcelona Comarques
08046761;Institut Guillem Catà;c. de Rosa Sensat, 6-8;08113;Manresa;;08243;938773705;938734504;1;Públic;01;Departament d'Ensenyament;S;07;Bages;0811306;1060;Catalunya Central
08054034;Institut Gallecs;pg. Cesc Bas, 3;08124;Mollet del Vallès;;08100;935705343;935707629;1;Públic;01;Departament d'Ensenyament;S;41;Vallès Oriental;0812401;0508;Maresme-Vallès Oriental
08068586;Educem II;pl. Maluquer i Salvador, 19;08096;Granollers;;08401;938791875;938792145;3;Concertat;26;Societats Mercantils;S;41;Vallès Oriental;0809601;0508;Maresme-Vallès Oriental
08074631;Institut Les Salines;av. 11 de setembre, 36;08169;El Prat de Llobregat;;08820;933794097;;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0816901;0308;Baix Llobregat
17001735;Institut Montilivi;av. Montilivi, 125;17079;Girona;;17003;972209458;972209069;1;Públic;01;Departament d'Ensenyament;S;20;Gironès;1707905;0117;Girona
17002399;Institut La Garrotxa;ctra. de Riudaura, 110;17114;Olot;;17800;972262200;972269410;1;Públic;01;Departament d'Ensenyament;S;19;Garrotxa;1711403;0117;Girona
17004438;Institut Alexandre Deulofeu;c. Joaquim Cusí Fortunet, 3;17066;Figueres;;17600;972505674;972511530;1;Públic;01;Departament d'Ensenyament;S;02;Alt Empordà;1706601;0117;Girona
