Codi del centre;Nom del centre;Adreça del centre;Codi municipi del centre;Municipi del centre;Districte municipal del centre;Codi postal del centre;Telèfon del centre;Telèfon 2 del centre;Codi naturalesa;Nom naturalesa;Codi titularitat;Nom titularitat;Servei d'educació de Catalunya;Codi comarca del centre;Comarca del centre;Codi localitat del centre;Codi àrea territorial del centre;Àrea territorial del centre
08000499;Sant Domènec Savio;c. Alfons XII, 111;08015;Badalona;;08912;933877254;933996612;3;Concertat;24;Ordes i Congregacions Catòlics;S;13;Barcelonès;0801501;0208;Barcelona Comarques
08000712;Llefià;c. Europa, 2 i 2 bis/c. Sèquia 1A i 1B;08015;Badalona;;08913;933883298;933830159;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801501;0208;Barcelona Comarques
08000761;Badalonès;c. Arbres, 17;08015;Badalona;;08912;933895716;934642674;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801501;0208;Barcelona Comarques
08000918;Cultural;pl. Marquès de Barberà, 13;08015;Badalona;;08911;933840451;934643185;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801501;0208;Barcelona Comarques
08001421;Institut La Pineda;c. de la Batlloria, s/n;08015;Badalona;;08917;933990511;933835709;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801501;0208;Barcelona Comarques
08003658;Sant Francesc;c.Taquígraf Serra,7.pl.1a,2a,3a,4a,5a,7a;08019;Barcelona;Les Corts;08029;933218377;934308464;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08004067;Jesuïtes Sarrià - Sant Ignasi;c. Carrasco i Formiguera, 32;08019;Barcelona;Sarrià - Sant Gervasi;08017;936023000;936023003;3;Concertat;22;Fundacions;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08004717;Sagrat Cor-Sarrià;c. Sagrat Cor, 25;08019;Barcelona;Sarrià - Sant Gervasi;08034;932030200;932802049;3;Concertat;22;Fundacions;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08008267;L'Esperança;c. Quito, 25-37;08019;Barcelona;Sant Andreu;08030;933457745;933469052;3;Concertat;22;Fundacions;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08009260;Jesuïtes Clot - El Clot;c. València, 680;08019;Barcelona;Sant Martí;08027;933516011;934084682;3;Concertat;22;Fundacions;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08010468;Palcam;c. Rosalía de Castro, 30-34;08019;Barcelona;Horta - Guinardó;08025;934359749;934364117;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08010882;Molina;c. Lorena, 65-71;08019;Barcelona;Nou Barris;08042;933533810;933531923;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08010961;La Salle Barceloneta;c. Balboa, 18-20;08019;Barcelona;Ciutat vella;08003;933195475;933193114;3;Concertat;24;Ordes i Congregacions Catòlics;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08013101;Institut Joan d'Àustria;c. Selva de Mar, 211;08019;Barcelona;Sant Martí;08020;933073402;932663151;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08013111;Institut Jaume Balmes;c. Pau Claris, 121;08019;Barcelona;Eixample;08009;934870301;932160411;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08013275;Institut Escola del Treball;c. Comte d'Urgell, 187;08019;Barcelona;Eixample;08036;934309200;934108540;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08013469;Institut Rambla Prim;c. Cristòbal de Moura, 223;08019;Barcelona;Sant Martí;08019;933079960;932662702;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08013640;Joan Pelegrí;c. Consell de Cent,14;08019;Barcelona;Sants - Montjuïc;08014;934316200;932964607;3;Concertat;22;Fundacions;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08013767;Prat;c. Roger de Llúria, 97;08019;Barcelona;Eixample;08009;932155852;934870938;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08014139;AF Centre d'estudis;c. Fontanella, 19;08019;Barcelona;Ciutat vella;08010;933189335;933184566;3;Concertat;26;Societats Mercantils;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08014279;Escola Professional Salesiana;pg. Sant Joan Bosco, 42;08019;Barcelona;Sarrià - Sant Gervasi;08017;932031100;932054467;3;Concertat;24;Ordes i Congregacions Catòlics;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08014310;Santíssima Trinitat;ctra. d'Esplugues, 62-70;08019;Barcelona;Les Corts;08034;932046312;932047766;3;Concertat;22;Fundacions;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08014401;Institut Mare de Déu de la Mercè;c. Motors, 122-130;08019;Barcelona;Sants - Montjuïc;08040;932232566;932231371;1;Públic;01;Departament d'Ensenyament;S;13;Barcelonès;0801901;0108;Consorci d'Educació de Barcelona
08015171;Institut Bisbe Sivilla;c. Valldebanador, 39;08035;Calella;;08370;937661201;937661231;1;Públic;01;Departament d'Ensenyament;S;21;Maresme;0803501;0508;Maresme-Vallès Oriental
08016781;Institut Esteve Terradas i Illa;c. Bonavista, 70;08073;Cornellà de Llobregat;;08940;933771100;933772709;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0807303;0308;Baix Llobregat
08017131;Institut Severo Ochoa;c. Severo Ochoa, 1-13;08077;Esplugues de Llobregat;;08950;933717042;934732075;1;Públic;01;Departament d'Ensenyament;S;11;Baix Llobregat;0807701;0308;Baix Llobregat
08017852;Institut Escola del Treball;c. Roger de Flor, 66;08096;Granollers;;08401;938795518;938796129;1;Públic;04;Corporacions Locals;S;41;Vallès Oriental;0809601;0508;Maresme-Vallès Oriental
